Range;class;model;precision;recall;f1_score;roc_auc;accuracy;номер комбинации;RSI__h_bound;RSI__period;SMA__ma_long;SMA__ma_longest;SMA__ma_short;EMA__ema_long;EMA__ema_longest;EMA__ema_short;RSIEMA__h_bound;RSIEMA__period;ROC__roc_high;ROC__roc_low;MOM__mom_high;MOM__mom_low;STOCH__stoch_d;STOCH__stoch_k;STOCH__stoch_period;SHIFT1__num_shifts;SHIFT2__num_shifts;CORRELATION_REMOVER__threshold;DEPENDENCIES_REMOVER__correlation_threshold;DATAPREPROCESSOR__apply_balancing;DATAPREPROCESSOR__apply_scaling;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
0,05;1;RandomForestClassifier;0.6390669758559542;0.9834172963895886;0.7747002893757751;0.5450221100636254;0.6345715435161593;152;70;21;34;200;5;34;134;5;80;13;14;5;21;14;3;8;3;3;1;0.03;0.8;FALSE;TRUE;100;2;4;log2;10
0,05;0;RandomForestClassifier;0.4180161943319838;0.15336056442629037;0.2243955446889432;0.4716021775520888;0.6171382593536274;153;70;13;21;200;13;21;200;5;70;21;21;5;14;5;3;8;5;13;3;0.01;0.5;FALSE;TRUE;100;10;2;sqrt;10
0,05;1;RandomForestClassifier;0.6475498531457722;0.8793031066330814;0.7458381554348794;0.5283978224479112;0.6171382593536274;153;70;13;21;200;13;21;200;5;70;21;21;5;14;5;3;8;5;13;3;0.01;0.5;FALSE;TRUE;100;10;2;sqrt;10
0,05;0;RandomForestClassifier;0.3952380952380952;0.030820646119569254;0.05718222528418877;0.4202480355357345;0.6329623172857718;154;70;21;34;200;13;34;200;13;70;21;21;9;14;5;3;5;5;13;3;0.01;0.8;FALSE;FALSE;200;10;2;log2;10
0,05;1;RandomForestClassifier;0.6398509728163378;0.9733417296389588;0.7721255515777204;0.5797519644642655;0.6329623172857718;154;70;21;34;200;13;34;200;13;70;21;21;9;14;5;3;5;5;13;3;0.01;0.8;FALSE;FALSE;200;10;2;log2;10
0,05;0;RandomForestClassifier;0.36168347216133273;0.3063497957668028;0.33172496984318456;0.46516862138772563;0.5542443341826472;155;70;21;21;200;13;21;134;13;80;21;21;5;14;5;5;13;3;13;1;0.03;0.3;FALSE;FALSE;200;5;1;log2;10
0,05;1;RandomForestClassifier;0.6391035548686245;0.6943744752308985;0.6655935613682092;0.5348313786122743;0.5542443341826472;155;70;21;21;200;13;21;134;13;80;21;21;5;14;5;5;13;3;13;1;0.03;0.3;FALSE;FALSE;200;5;1;log2;10
0,05;0;RandomForestClassifier;0.36092567868268804;0.30115113256591164;0.3283400809716599;0.4639402368861897;0.5550489472978409;156;70;21;21;200;5;21;134;5;70;8;14;5;14;5;3;8;3;5;1;0.03;0.3;FALSE;TRUE;300;10;2;sqrt;10
0,05;1;RandomForestClassifier;0.6387715930902111;0.6985726280436608;0.6673350711850812;0.5360597631138103;0.5550489472978409;156;70;21;21;200;5;21;134;5;70;8;14;5;14;5;3;8;3;5;1;0.03;0.3;FALSE;TRUE;300;10;2;sqrt;10
0,05;0;RandomForestClassifier;0.3810240963855422;0.18789454140363906;0.2516786868938075;0.48068241730044275;0.5964865227303205;157;70;13;34;200;5;21;134;13;70;8;14;9;21;14;3;5;3;13;3;0.03;0.5;FALSE;FALSE;100;10;4;sqrt;10
